EPOCHS,ACCURACY
1,27.9
2,46.3
3,46.2
4,34.4
5,44.5
6,48.2
7,33.9
8,46.5
9,27.6
10,44.5
11,45.9
12,47.9
13,27.9
14,27.6
15,27.9
16,29.6
17,27.6
18,46.7
19,44.5
20,40.9
21,27.6
22,27.6
23,44
24,44.5
25,47.5
26,38.7
27,47.8
28,44.7
29,27.9
30,50.3
31,53
32,49.1
33,46.3
34,44.5
35,44.5
36,49.5
37,53.5
38,49.6
39,45.9
40,50.6
41,48
42,33.7
43,27.6
44,52.7
45,34.1
46,52.1
47,27.6
48,48.4
49,46
50,52.8
51,53.3
52,27.6
53,51.6
54,54.5
55,27.9
56,27.6
57,54.3
58,48.3
59,43
60,44.5
LEARNING RATE,0.3
LAYERS,2 | 400 | 3
MINI BATCH SIZE,100
